method,accuracy,scaler,params
LogisticRegression,0.6761376761376762,StandardScaler,"{'logreg__C': 1, 'logreg__penalty': 'none', 'logreg__random_state': 42}"
LogisticRegression,0.6761586761586761,MinMaxScaler,"{'logreg__C': 50, 'logreg__penalty': 'l2', 'logreg__random_state': 42}"
SVC,0.7242697242697242,StandardScaler,"{'svc__C': 10, 'svc__random_state': 42}"
SVC,0.7111657111657111,MinMaxScaler,"{'svc__C': 10, 'svc__random_state': 42}"
KNeighborsClassifier,0.7398307398307398,StandardScaler,"{'knn__algorithm': 'auto', 'knn__n_neighbors': 7, 'knn__p': 1, 'knn__weights': 'distance'}"
KNeighborsClassifier,0.6923076923076922,MinMaxScaler,"{'knn__algorithm': 'auto', 'knn__n_neighbors': 7, 'knn__p': 1, 'knn__weights': 'distance'}"
MultinomialNB,0.6361326361326362,MinMaxScaler,"{'nb__alpha': 2.0, 'nb__fit_prior': True}"
DecisionTreeClassifier,0.6886956886956886,StandardScaler,"{'dt__criterion': 'gini', 'dt__max_depth': 10, 'dt__max_features': 'sqrt', 'dt__min_samples_leaf': 3, 'dt__min_samples_split': 2, 'dt__random_state': 42, 'dt__splitter': 'best'}"
DecisionTreeClassifier,0.6886746886746886,MinMaxScaler,"{'dt__criterion': 'gini', 'dt__max_depth': 10, 'dt__max_features': 'sqrt', 'dt__min_samples_leaf': 3, 'dt__min_samples_split': 2, 'dt__random_state': 42, 'dt__splitter': 'best'}"
RandomForestClassifier,0.7819357819357821,StandardScaler,"{'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__random_state': 42}"
RandomForestClassifier,0.7820617820617821,MinMaxScaler,"{'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__random_state': 42}"
GradientBoostingClassifier,0.7260127260127259,StandardScaler,"{'gb__learning_rate': 0.5, 'gb__max_features': 'sqrt', 'gb__random_state': 42}"
GradientBoostingClassifier,0.725970725970726,MinMaxScaler,"{'gb__learning_rate': 0.5, 'gb__max_features': 'sqrt', 'gb__random_state': 42}"
BaggingClassifier,0.7507717507717507,StandardScaler,"{'base_estimator': 'deprecated', 'bootstrap': True, 'bootstrap_features': False, 'estimator': None, 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 10, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}"
